Title,Genre,Discription,Cast,Director,Producer,Satify,Publish,Time,Limit Age
Ròm,"Ròm - Action, Thriller","Ròm kể câu chuyện về cuộc sống của những người dân lao động nơi một khu chung cư cũ đang chờ giải tỏa tại Sài Gòn. Họ đều chơi số đề với hy vọng kiếm được một khoản tiền lớn để đổi đời. Ròm là cậu bé làm “cò đề” để kiếm sống qua ngày, chuyên tư vấn cho người dân những con số may mắn để họ có cơ may trúng đề. Tuy nhiên, Ròm phải cạnh tranh sống còn với Phúc – một tay cò đề giang hồ cùng khu để giành giật từng “khách hàng”.","['Trần Anh Khoa', 'Nguyễn Phan Anh Tú', 'Cát Phượng', 'Mai Thế Hiệp', 'Wowy']",['Trần Dũng Thanh Huy'], , ,25/09/2020,79 phút,NC18
Greenland: Thảm Họa Thiên Thạch,"Greenland - Action, Thriller, Science Fiction","Trước thảm họa thiên thạch liên tiếp rơi xuống Trái đất và phá hủy tất cả mọi thứ nơi nó đi qua, John Garrity quyết tâm đưa vợ Allison, cùng con trai Nathan tìm đường trốn đến nơi trú ẩn an toàn - Greenland - hy vọng sống sót duy nhất của tất cả trước khi quá muộn. Mặt khác, họ phải cạnh tranh với những con người cũng đang tìm cách sinh tồn bằng mọi giá.","['Gerard Butler', 'Morena Baccarin', 'Roger Dale Floyd', 'Scott Glenn', 'Andrew Bachelor']",['Ric Roman Waugh'],"['Gerard Butler', 'Basil Iwanyk', 'Alan Siegel']",83%,11/09/2020,119 phút,NC16
Gia Đình Chân To Phiêu Lưu Ký,"Bigfoot Family - Adventure, Animation","Gia Đình Chân To Phiêu Lưu Ký tiếp nối phần phim Bố Tớ Là Chân To kể về cuộc phiêu lưu thú vị đến vùng đất Alaska với mong muốn truyền tải thông điệp ý nghĩa về môi trường sau khi Adam và Bố trở thành những gương mặt được truyền thông săn đón. Trong lúc đang dốc sức để mang lại những điều tuyệt vời cho Alaska, họ đã phát hiện một âm mưu tàn phá môi trường. Liệu gia đình Chân To có ngăn chặn được âm mưu độc ác này và bảo vệ vùng đất?", ,"['Ben Stassen', 'Jérémie Degruson']", , ,25/09/2020,97 phút,P
Mượn Xác,"The Unfamiliar - Thriller, Horror",Một cựu quân y trở nhà sau chiến tranh và liên tục gặp phải những ảo ảnh kỳ quái. Cô ban đầu cứ ngỡ đó là di chứng của những tổn thương tinh thần trong quá trình làm việc. Nhưng sự thật gia đình của cô đang thay đổi tâm tính do bị ám bởi một thế lực tà ác kinh hoàng.,"['Jemima West', 'Christopher Dane', 'Rebecca Hanssen', 'Harry McMillan-Hunt', 'Rachel Lin']",['Henk Pretorius'],"['Llewelynn Greeff', 'Barend Kruger']", ,18/09/2020,89 phút,NC18
Dinh Thự Xác Sống,"Murders At The House Of Death - Mystery, Thriller, Crime, Horror","Chuyện phim theo chân hai thám tử trung học nổi tiếng Yuzuru Hamura và Kyosuke Akechi. Nhận được lời đề nghị hấp dẫn, hai thám tử trung học này quyết định ghé thăm một dinh thự ven hồ để điều tra về vụ mất tích bí ẩn của cô gái trẻ cách đây nhiều năm trời. Cùng lúc đó, cả hai phải đối phó với sự xuất hiện kỳ lạ của nữ sinh cùng trường Hiruko Kenzaki - người cũng là một thám tử tư đầy tham vọng. Họ cùng nhau tham gia vào một trại hè và ở lại tại một dinh thự trên núi mang tên Shijinso. Không ngờ, họ cùng tất cả các lữ khách bị binh đoàn xác sống tấn công. Đồng thời, lợi dụng tình cảnh éo le này, có kẻ nào đó đã gây ra chuỗi án mạng liên hoàn tại dinh thự. 15 nghi phạm. Kẻ sát nhân là người, hay là thây ma? Đáp án chỉ có một!","['Tokio Emoto', 'Riko Fukumoto', 'Yuki Furukawa', 'Eri Fuse', 'Minami Hamabe']",['Hisashi Kimura'], , ,25/09/2020,119 phút,NC18
Vì Sao Đưa Bạn Tới,Jungle Beat: The Movie - Animation,"Vì Sao Đưa Bạn Tới câu chuyện về những người bạn động vật đáng yêu của rừng xanh và một người bạn đặc biệt ngoài hành tinh. Một sớm thức dậy, chú khỉ Munki tinh nghịch và cô nàng voi Trunk hiền lành đột nhiên phát hiện ra mình có khả năng nói tiếng người.","['David Menkin', 'David Rintoul', 'Gavin Peter', 'Florrie Wilkinson', 'Adam Neill']",['Brent Dawes'], , ,18/09/2020,84 phút,P
Phòng Thủ Địa Cầu,"Invasion - Action, Drama, Horror, Science Fiction","Cô nàng Yulia sau sự kiện đối mặt với người ngoài hành tinh, đã sở hữu năng lực kỳ dị khiến cho chủng tộc hùng mạnh này quyết định xâm lược trái đất và diệt trừ mầm mống mới nở.","['Alexander Petrov', 'Irina Starshenbaum', 'Oleg Menshikov', 'Rinal Mukhametov', 'Yuriy Borisov']",['Fyodor Bondarchuk'],"['Fyodor Bondarchuk', 'Anton Zlatopolsky', 'Mikhail Vrubel']", ,18/09/2020,129 phút,NC13
Bà Tôi Là Công Chúa,OH! My Gran -,"Bà Tôi Là Công Chúa kể về bà Moon-hee – một cụ bà mắc bệnh Alzheimer nhưng luôn tưởng mình là Secret Jouju – một nàng công chúa trong phim hoạt hình. Bà Moon-hee đang được chăm sóc bởi con trai và cháu gái lớn. Vào một đêm nọ, Bo-mi gặp tai nạn nghiêm trọng. Vì bà Moon-hee là nhân chứng duy nhất nên quá trình điều tra của cảnh sát đi vào ngõ cụt.","['Na Moon-hee', 'Lee Hee-joon', 'Choi Won-young', 'Park Ji-young', 'Jeon Bae-soo']",['Jung Se-kyo'],['Ok Gwang-hee'], ,18/09/2020,109 phút,NC16
Tenet,"Tenet - Action, Thriller","Hai nhân vật được một tổ chức bí ẩn chiêu mộ, sử dụng một thứ được gọi là “Tenet” - được cho là “có thể mở ra những cửa đúng” và “vài cửa sai”, nhằm ngăn chặn Thế chiến thứ III từ trước khi nó xảy ra. Thay vì du hành thời gian, phương pháp nó hoạt động là “nghịch đảo” những gì đã có.","['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Dimple Kapadia', 'Michael Caine']",['Christopher Nolan'],"['Christopher Nolan', 'Emma Thomas']",100%,28/08/2020,150 phút,NC16
Chiếc Balo Đẫm Máu,Range Runners - Thriller,"Một người phụ nữ đi bộ đường dài bị cô lập và vô tình gặp rắc rối khi balo của cô bị hai người đàn ông ghê sợ đã trốn sẵn trong rừng trộm mất. Bây giờ, để quay trở về cô có hai lựa chọn: bò trở lại trong thất bại, hoặc tiến về phía trước và lấy lại những gì đã bị đánh cắp.","['Celeste M Cooper', 'Sean Patrick Leonard', 'Michael B. Woods', 'Tiffany Renee Johnson', 'Sarah Charipar']",['Philip S. Plowden'],"['Christian Crocker', 'Christopher Ganze']", ,25/09/2020,111 phút,NC18
