Title,Abstract,Image
Bà Thái Anh Văn ca ngợi phi công Đài Loan 'anh dũng' chặn chiến đấu cơ Trung Quốc,"TTO - Ngày 22-9, lãnh đạo Đài Loan Thái Anh Văn dành lời khen cho ""biểu hiện anh dũng"" của các phi công Đài Loan đã tham gia ngăn chặn máy bay quân sự Trung Quốc tiếp cận hòn đảo này.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/thai-16007596110472115289801.jpg
VinSmart ra mắt smartphone Vsmart Joy 4 cho người dùng trẻ,"TTO - Mẫu smartphone Vsmart Joy 4 chính thức đến tay người dùng Việt từ ngày 22-9 với hàng loạt nâng cấp quan trọng, màu sắc được định hướng trẻ trung và bộ 4 camera.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/vsmart-joy4-2-16007636039281198410416.jpg
Đà Nẵng cho phép thí điểm khai thác xuất khẩu cá nóc,"TTO - Theo ngư dân, sản lượng cá nóc tại vùng biển miền Trung rất lớn và có quanh năm, mỗi mẻ lưới kéo ngư dân thu được thường lẫn 10% cá nóc, có ngư trường cá nóc chiếm tới 20-30%.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/logo-anh-1-1-16007630326331231467423.jpg
Điều tra nghi án chồng giết vợ rồi treo cổ tự tử,"TTO - Ngày 22-9, Công an Đồng Nai cho hay đang phối hợp các lực lượng chức năng điều tra, xác minh nguyên nhân tử vong của cặp vợ chồng già trong nhà riêng.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/hientruong-16007539530741301220896.jpg
Điện mặt trời không lắp trên mái nhà sẽ không được hưởng giá ưu đãi,"TTO - Hệ thống mặt trời không lắp trên mái nhà của công trình xây dựng có công năng độc lập, hệ thống mặt trời của trang trại với công suất trên 1 MW hoặc trên 1,25 MWp sẽ không được áp dụng giá bán điện ưu đãi là 1.943 đồng/kWh.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/logo-xay-dung-dien-2-1-1600760954727228286744.jpg
"Đàm phán COC: Trung Quốc muốn ngăn phương Tây vào Biển Đông, Philippines kiên quyết giữ","TTO - 'Bắc Kinh muốn các nước phương Tây biến khỏi Biển Đông nhưng tôi sẽ không để điều đó xảy ra. Các cường quốc phương Tây phải hiện diện ở Biển Đông như một bên cân bằng với Trung Quốc', Ngoại trưởng Philippines Teodoro Locsin Jr. hé lộ.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/ngoai-truong-philippines-16007610748541349582715.png
Các bệnh viện phụ sản bỏ sót khoa nhũ,"TTO - Các bệnh viện sản phụ khoa tại Việt Nam hầu như không có bệnh viện nào có khoa nhũ. Chính vì vậy, phụ nữ mắc các bệnh lý về tuyến vú đều phải đến Bệnh viện Ung bướu điều trị.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/hinh-bs-diem-tuyet-16007609407471328173832.jpg
Nhiều cổ phiếu niêm yết trên sàn nhưng cả năm không có giao dịch,"TTO - Thị trường chứng khoán Việt Nam có hàng ngàn cổ phiếu đang niêm yết và đăng ký giao dịch. Nhưng theo dữ liệu thống kê của Vietstock, HNX có 5 mã và UPCoM có 137 mã kết quả giao dịch một năm qua là con số không tròn trĩnh.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/e16a625a870878562119-15983454935622092949514-16007571626561952757228.jpg
Wouter Vanhees  - Nhiếp ảnh gia Bỉ đi tìm hồn Hà Nội giữa rừng bê tông,"TTO - “Hà Nội đang thay da đổi thịt. Vậy cái hồn của thành phố thì sao?”, nhiếp ảnh gia người Bỉ Wouter Vanhees đặt câu hỏi trong những đêm lang thang khắp Hà Nội, tìm kiếm câu trả lời với một chiếc máy ảnh trong tay.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/wouterorig-16007513053071873741165.jpg
Nhiều hoạt động đặc sắc tại Lễ hội Trung thu 2020,"Lễ hội Trung Thu 2020 sẽ được tổ chức từ ngày 28/9 đến 1/10, tại số 2 Hoa Lư, quận Hai Bà Trưng, Hà Nội với nhiều hoạt động đặc sắc hướng đến trẻ em.",https://cdn.tuoitre.vn/thumb_w/640/2020/9/22/photo-1-16007598820761070585361.jpg
